FID IID BAPS_1 BAPS_2 BAPS_3 BAPS_4 BAPS_5 BAPS_6 BAPS_7 BAPS_8 BAPS_9 BAPS_10
307048_H08_hpgen5583812 307048_H08_hpgen5583812 1 0 0 0 0 0 0 0 0 0
307047_G05_hpgen5583690 307047_G05_hpgen5583690 1 0 0 0 0 0 0 0 0 0
307049_A09_hpgen5583912 307049_A09_hpgen5583912 1 0 0 0 0 0 0 0 0 0
307050_F01_hpgen5583950 307050_F01_hpgen5583950 1 0 0 0 0 0 0 0 0 0
307049_G01_hpgen5583853 307049_G01_hpgen5583853 1 0 0 0 0 0 0 0 0 0
307047_B11_hpgen5583733 307047_B11_hpgen5583733 1 0 0 0 0 0 0 0 0 0
307047_G11_hpgen5583738 307047_G11_hpgen5583738 1 0 0 0 0 0 0 0 0 0
307045_D07_hpgen5583506 307045_D07_hpgen5583506 1 0 0 0 0 0 0 0 0 0
307050_H05_hpgen5583984 307050_H05_hpgen5583984 1 0 0 0 0 0 0 0 0 0
307052_A07_hpgen5584223 307052_A07_hpgen5584223 1 0 0 0 0 0 0 0 0 0
307047_C12_hpgen5583743 307047_C12_hpgen5583743 1 0 0 0 0 0 0 0 0 0
307047_D04_hpgen5583679 307047_D04_hpgen5583679 1 0 0 0 0 0 0 0 0 0
307048_F07_hpgen5583802 307048_F07_hpgen5583802 1 0 0 0 0 0 0 0 0 0
307046_D02_hpgen5583566 307046_D02_hpgen5583566 1 0 0 0 0 0 0 0 0 0
307047_C10_hpgen5583726 307047_C10_hpgen5583726 1 0 0 0 0 0 0 0 0 0
307047_D11_hpgen5583735 307047_D11_hpgen5583735 1 0 0 0 0 0 0 0 0 0
307049_C05_hpgen5583881 307049_C05_hpgen5583881 1 0 0 0 0 0 0 0 0 0
307045_G11_hpgen5583543 307045_G11_hpgen5583543 0 1 0 0 0 0 0 0 0 0
307046_F02_hpgen5583568 307046_F02_hpgen5583568 0 1 0 0 0 0 0 0 0 0
307046_F09_hpgen5583624 307046_F09_hpgen5583624 0 1 0 0 0 0 0 0 0 0
307046_G09_hpgen5583625 307046_G09_hpgen5583625 0 1 0 0 0 0 0 0 0 0
307048_E01_hpgen5583753 307048_E01_hpgen5583753 0 1 0 0 0 0 0 0 0 0
307045_H02_hpgen5583469 307045_H02_hpgen5583469 0 1 0 0 0 0 0 0 0 0
307046_B07_hpgen5583604 307046_B07_hpgen5583604 0 1 0 0 0 0 0 0 0 0
307046_G08_hpgen5583617 307046_G08_hpgen5583617 0 1 0 0 0 0 0 0 0 0
307048_E09_hpgen5583817 307048_E09_hpgen5583817 0 1 0 0 0 0 0 0 0 0
307048_G11_hpgen5583836 307048_G11_hpgen5583836 0 1 0 0 0 0 0 0 0 0
307045_G12_hpgen5583552 307045_G12_hpgen5583552 0 1 0 0 0 0 0 0 0 0
307046_D08_hpgen5583614 307046_D08_hpgen5583614 0 1 0 0 0 0 0 0 0 0
307045_A05_hpgen5583487 307045_A05_hpgen5583487 0 1 0 0 0 0 0 0 0 0
307046_H10_hpgen5583634 307046_H10_hpgen5583634 0 1 0 0 0 0 0 0 0 0
307049_F03_hpgen5583868 307049_F03_hpgen5583868 0 1 0 0 0 0 0 0 0 0
307047_D02_hpgen5583663 307047_D02_hpgen5583663 0 1 0 0 0 0 0 0 0 0
307045_F10_hpgen5583533 307045_F10_hpgen5583533 0 1 0 0 0 0 0 0 0 0
307045_A01_hpgen5583454 307045_A01_hpgen5583454 0 1 0 0 0 0 0 0 0 0
307045_H11_hpgen5583544 307045_H11_hpgen5583544 0 1 0 0 0 0 0 0 0 0
307045_E09_hpgen5583524 307045_E09_hpgen5583524 0 1 0 0 0 0 0 0 0 0
307046_E10_hpgen5583631 307046_E10_hpgen5583631 0 1 0 0 0 0 0 0 0 0
307048_F03_hpgen5583770 307048_F03_hpgen5583770 0 1 0 0 0 0 0 0 0 0
307048_B02_hpgen5583758 307048_B02_hpgen5583758 0 1 0 0 0 0 0 0 0 0
307048_G09_hpgen5583819 307048_G09_hpgen5583819 0 1 0 0 0 0 0 0 0 0
307046_F01_hpgen5583560 307046_F01_hpgen5583560 0 1 0 0 0 0 0 0 0 0
307049_E09_hpgen5583916 307049_E09_hpgen5583916 0 1 0 0 0 0 0 0 0 0
307048_H11_hpgen5583838 307048_H11_hpgen5583838 0 1 0 0 0 0 0 0 0 0
307045_A08_hpgen5583511 307045_A08_hpgen5583511 0 1 0 0 0 0 0 0 0 0
307046_H12_hpgen5583651 307046_H12_hpgen5583651 0 1 0 0 0 0 0 0 0 0
307048_G07_hpgen5583803 307048_G07_hpgen5583803 0 1 0 0 0 0 0 0 0 0
307049_F05_hpgen5583884 307049_F05_hpgen5583884 0 1 0 0 0 0 0 0 0 0
307046_B05_hpgen5583588 307046_B05_hpgen5583588 0 1 0 0 0 0 0 0 0 0
307048_C06_hpgen5583791 307048_C06_hpgen5583791 0 1 0 0 0 0 0 0 0 0
