hpgen5583624	11860_4#1
hpgen5583753	11860_4#3
hpgen5583725	11860_4#4
hpgen5583679	11860_4#2
hpgen5583538	11860_4#7
hpgen5583568	11860_4#10
hpgen5583802	11860_4#9
hpgen5583667	11860_4#14
hpgen5583461	11860_4#16
hpgen5583728	11860_4#19
hpgen5583526	11860_4#11
hpgen5583743	11860_4#26
hpgen5583648	11860_4#23
hpgen5583865	11860_4#22
hpgen5583602	11860_4#27
hpgen5583816	11860_4#32
hpgen5583824	11860_4#36
hpgen5583625	11860_4#35
hpgen5583760	11860_4#38
hpgen5583801	11860_4#40
hpgen5583757	11860_4#41
hpgen5583809	11860_4#42
hpgen5583623	11860_4#39
hpgen5583772	11860_4#44
hpgen5583469	11860_4#45
hpgen5583555	11860_4#46
hpgen5583604	11860_4#47
hpgen5583813	11860_4#48
hpgen5583712	11860_4#49
hpgen5583716	11860_4#50
hpgen5583694	11860_4#52
hpgen5583736	11860_4#57
hpgen5583778	11860_4#58
hpgen5583464	12718_5#12
hpgen5583817	11860_4#61
hpgen5583708	11860_4#62
hpgen5583721	11860_4#75
hpgen5583468	11860_4#74
hpgen5583656	12718_5#19
hpgen5583647	11860_4#65
hpgen5583553	12045_8#79
hpgen5583706	11860_4#68
hpgen5583591	11860_4#72
hpgen5583836	11860_4#66
hpgen5583488	12718_5#25
hpgen5583617	11860_4#59
hpgen5583502	11860_4#77
hpgen5583735	11860_4#79
hpgen5583552	11860_4#81
hpgen5583487	11860_4#84
hpgen5583830	11860_4#82
hpgen5583484	12045_8#80
hpgen5583696	12045_8#81
hpgen5583697	11860_4#87
hpgen5583634	11860_4#85
hpgen5583868	11860_4#90
hpgen5583532	12045_8#82
hpgen5583637	11860_4#93
hpgen5583729	12718_5#42
hpgen5583686	11860_5#6
hpgen5583737	11860_5#4
hpgen5583722	11860_5#2
hpgen5583812	11860_4#92
hpgen5583636	11860_5#5
hpgen5583663	11860_5#13
hpgen5583823	11860_5#12
hpgen5583533	11860_5#18
hpgen5583614	11860_4#83
hpgen5583831	11860_5#21
hpgen5583792	11860_5#25
hpgen5583570	11860_5#1
hpgen5583580	11860_5#23
hpgen5583586	11860_5#24
hpgen5583600	11860_5#29
hpgen5583609	11860_5#27
hpgen5583454	11860_5#30
hpgen5583652	11860_5#32
hpgen5583774	11860_5#40
hpgen5583690	11860_5#39
hpgen5583748	11860_5#45
hpgen5583768	11860_5#46
hpgen5583601	11860_5#44
hpgen5583677	11860_5#22
hpgen5583554	11860_5#28
hpgen5583683	11860_5#48
hpgen5583544	11860_5#41
hpgen5583565	11860_5#47
hpgen5583612	11860_5#42
hpgen5583543	11822_8#32
hpgen5583498	11860_5#49
hpgen5583807	11860_5#50
hpgen5583790	11860_5#52
hpgen5583903	11860_5#53
hpgen5583524	11860_5#56
hpgen5583631	11860_5#59
hpgen5583719	11860_5#57
hpgen5583566	11860_5#58
hpgen5583463	11860_5#60
hpgen5583770	11860_5#62
hpgen5583458	14412_4#87
hpgen5583758	11860_5#64
hpgen5583908	11860_5#67
hpgen5583500	11860_5#65
hpgen5583887	11860_5#68
hpgen5583536	11860_5#70
hpgen5583723	11860_5#69
hpgen5583639	11860_5#73
hpgen5583491	11860_5#76
hpgen5583540	11822_8#34
hpgen5583898	11860_5#74
hpgen5583700	11860_5#75
hpgen5583590	11860_5#77
hpgen5583847	11860_5#79
hpgen5583819	11860_5#81
hpgen5583916	11860_5#88
hpgen5583560	11860_5#86
hpgen5583777	11860_5#87
hpgen5583838	11860_5#90
hpgen5583857	11860_5#93
hpgen5583794	11860_5#89
hpgen5583665	11860_5#96
hpgen5583863	11860_5#95
hpgen5583629	12754_1#4
hpgen5583925	11860_6#2
hpgen5583820	11822_8#36
hpgen5583651	11860_6#17
hpgen5583593	12754_1#6
hpgen5583511	11860_6#10
hpgen5583848	12754_1#16
hpgen5583769	11860_6#12
hpgen5583482	11860_6#5
hpgen5583896	11860_6#18
hpgen5583850	11860_6#16
hpgen5583669	11860_6#7
hpgen5583673	11860_6#11
hpgen5583861	11860_6#14
hpgen5583840	11860_6#20
hpgen5583907	11860_6#19
hpgen5583485	11822_8#35
hpgen5583912	11860_6#15
hpgen5583800	11860_6#22
hpgen5583998	11860_6#23
hpgen5583884	11860_6#4
hpgen5583751	11860_6#27
hpgen5583754	11860_5#71
hpgen5583786	11860_6#24
hpgen5583934	11860_6#33
hpgen5583860	11860_6#30
hpgen5583924	11860_6#35
hpgen5583826	11860_6#13
hpgen5583875	11860_6#37
hpgen5583814	11860_6#29
hpgen5583833	11860_6#6
hpgen5583950	11860_6#45
hpgen5583726	11860_6#38
hpgen5583803	11860_6#41
hpgen5583889	11860_6#48
hpgen5583765	11860_6#46
hpgen5583480	11860_6#42
hpgen5583852	11860_6#52
hpgen5583923	11822_8#37
hpgen5583522	11860_6#49
hpgen5583919	11860_6#57
hpgen5583588	11860_6#55
hpgen5583832	11860_6#61
hpgen5583783	11860_6#60
hpgen5583732	11860_6#63
hpgen5583791	11860_6#64
hpgen5583680	11860_6#68
hpgen5583810	11860_6#65
hpgen5583787	11860_6#66
hpgen5583508	11860_6#71
hpgen5583846	11860_6#74
hpgen5583668	11860_6#50
hpgen5583628	12754_1#50
hpgen5583713	11860_6#77
hpgen5583917	11860_6#82
hpgen5583930	11860_6#80
hpgen5583785	11861_5#87
hpgen5583881	12754_1#55
hpgen5583773	11860_6#83
hpgen5583470	11860_6#70
hpgen5583573	11860_6#85
hpgen5583649	11860_6#79
hpgen5583513	11860_6#87
hpgen5583563	11860_6#84
hpgen5583501	11860_6#89
hpgen5583515	11860_6#88
hpgen5583671	11860_6#86
hpgen5583808	11860_6#90
hpgen5583858	11860_6#91
hpgen5583621	11860_6#78
hpgen5583521	11860_6#93
hpgen5583927	11860_6#94
hpgen5583966	11860_6#96
hpgen5583974	11860_6#95
hpgen5583462	11861_1#1
hpgen5583653	11860_6#92
hpgen5583905	11861_1#3
hpgen5583775	11861_1#4
hpgen5583684	12754_1#70
hpgen5583731	11861_1#9
hpgen5583793	11861_1#14
hpgen5583855	11861_1#15
hpgen5583915	11861_1#16
hpgen5583888	11861_1#17
hpgen5583880	11861_1#22
hpgen5583853	11861_1#19
hpgen5583932	11861_1#26
hpgen5583527	11861_1#21
hpgen5583756	11822_8#39
hpgen5583618	11861_1#20
hpgen5583662	11861_1#32
hpgen5583829	11861_1#37
hpgen5583703	11861_1#28
hpgen5583579	11861_1#30
hpgen5583557	11861_1#40
hpgen5583595	11861_1#42
hpgen5583871	11861_1#52
hpgen5583878	11861_1#47
hpgen5583691	11861_1#50
hpgen5583901	11861_1#60
hpgen5583789	11861_1#46
hpgen5583616	11861_1#39
hpgen5583594	11861_1#45
hpgen5583646	11861_1#49
hpgen5583788	11861_1#61
hpgen5583597	11861_1#53
hpgen5583576	11861_1#56
hpgen5583913	11861_1#64
hpgen5583876	11861_1#54
hpgen5583666	11861_1#79
hpgen5583675	11861_1#33
hpgen5583541	11861_1#48
hpgen5583771	11861_1#63
hpgen5583746	11861_1#34
hpgen5583920	11861_1#62
hpgen5583687	11861_1#57
hpgen5583877	11861_1#67
hpgen5583990	11861_1#75
hpgen5583709	11861_1#74
hpgen5583958	11861_1#73
hpgen5583891	12273_1#83
hpgen5583688	11861_1#78
hpgen5583931	11822_8#42
hpgen5583776	11861_1#84
hpgen5583670	11861_1#72
hpgen5583584	11861_1#89
hpgen5583658	11822_8#44
hpgen5583582	11861_1#82
hpgen5583894	11861_1#70
hpgen5583626	11861_1#87
hpgen5583733	11861_1#90
hpgen5583841	11861_1#93
hpgen5583738	11861_1#94
hpgen5583914	12754_4#62
hpgen5583497	11861_1#91
hpgen5583465	12273_1#84
hpgen5583535	11861_2#10
hpgen5583587	11861_2#13
hpgen5583918	11861_2#14
hpgen5583843	11861_2#2
hpgen5583672	11861_2#15
hpgen5583689	11861_2#11
hpgen5583506	11861_2#16
hpgen5583467	11861_2#21
hpgen5583523	11861_2#19
hpgen5583842	11861_2#27
hpgen5583547	11861_2#26
hpgen5583664	11861_2#28
hpgen5584011	11861_2#29
hpgen5584094	11861_2#33
hpgen5583968	11861_2#30
hpgen5583971	11861_2#32
hpgen5584022	11861_2#36
hpgen5584027	11861_2#39
hpgen5584016	11822_8#46
hpgen5583988	11861_2#44
hpgen5584000	11861_2#34
hpgen5583945	11861_2#41
hpgen5583979	11861_2#51
hpgen5583957	11861_2#52
hpgen5584008	11861_2#56
hpgen5584001	11861_2#57
hpgen5583997	11861_2#58
hpgen5583962	11861_2#60
hpgen5583938	11861_2#62
hpgen5583970	11861_2#59
hpgen5583965	11861_2#63
hpgen5583996	11861_2#64
hpgen5584110	11861_2#67
hpgen5584118	11861_2#70
hpgen5584087	11861_2#69
hpgen5583960	11861_2#72
hpgen5584054	11861_2#78
hpgen5584003	11861_2#76
hpgen5584038	11861_2#77
hpgen5583955	12754_4#65
hpgen5583949	11861_2#75
hpgen5583991	11861_2#73
hpgen5584070	11861_2#81
hpgen5583969	11861_2#88
hpgen5583939	11861_2#84
hpgen5583963	11861_2#85
hpgen5583936	11861_2#87
hpgen5583935	12273_1#86
hpgen5583989	12273_1#92
hpgen5583961	12273_1#88
hpgen5584071	11861_2#83
